INFO  | 2021-09-18T20:05:01,450 | c.a.c.Application logStarting 55 | Starting Application on LAPTOP-N1VJDV55 with PID 5284 (D:\Personal\EclipseWorkspace\casestudy\target\classes started by Pareek in D:\Personal\EclipseWorkspace\casestudy)
DEBUG | 2021-09-18T20:05:01,458 | c.a.c.Application logStarting 56 | Running with Spring Boot v2.3.3.RELEASE, Spring v5.2.8.RELEASE
INFO  | 2021-09-18T20:05:01,459 | c.a.c.Application logStartupProfileInfo 651 | No active profile set, falling back to default profiles: default
WARN  | 2021-09-18T20:05:03,735 | o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext refresh 559 | Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'liquibase' defined in class path resource [org/springframework/boot/autoconfigure/liquibase/LiquibaseAutoConfiguration$LiquibaseConfiguration.class]: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [liquibase.integration.spring.SpringLiquibase]: Factory method 'liquibase' threw exception; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'dataSource' defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Hikari.class]: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [com.zaxxer.hikari.HikariDataSource]: Factory method 'dataSource' threw exception; nested exception is org.springframework.boot.autoconfigure.jdbc.DataSourceProperties$DataSourceBeanCreationException: Failed to determine a suitable driver class
ERROR | 2021-09-18T20:05:03,758 | o.s.b.d.LoggingFailureAnalysisReporter report 40 | 

***************************
APPLICATION FAILED TO START
***************************

Description:

Failed to configure a DataSource: 'url' attribute is not specified and no embedded datasource could be configured.

Reason: Failed to determine a suitable driver class


Action:

Consider the following:
	If you want an embedded database (H2, HSQL or Derby), please put it on the classpath.
	If you have database settings to be loaded from a particular profile you may need to activate it (no profiles are currently active).

INFO  | 2021-09-18T20:31:55,135 | c.a.c.Application logStarting 55 | Starting Application on LAPTOP-N1VJDV55 with PID 15692 (D:\Personal\EclipseWorkspace\casestudy\target\classes started by Pareek in D:\Personal\EclipseWorkspace\casestudy)
DEBUG | 2021-09-18T20:31:55,140 | c.a.c.Application logStarting 56 | Running with Spring Boot v2.3.3.RELEASE, Spring v5.2.8.RELEASE
INFO  | 2021-09-18T20:31:55,141 | c.a.c.Application logStartupProfileInfo 651 | No active profile set, falling back to default profiles: default
INFO  | 2021-09-18T20:31:59,089 | c.a.c.Application logStarted 61 | Started Application in 4.322 seconds (JVM running for 5.16)
DEBUG | 2021-09-18T20:32:39,718 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.readEntities(..) with arguments [, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:32:39,723 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.findByNameQuery(..) with arguments [, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:32:39,854 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.findByNameQuery(..) and returning Page 1 of 2 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances
DEBUG | 2021-09-18T20:32:39,858 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.readEntities(..) and returning DefaultResponse{status=SUCCESS, content=Page 1 of 2 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances}
WARN  | 2021-09-18T20:32:40,469 | o.s.w.s.PageNotFound noHandlerFound 1251 | No mapping for GET /favicon.ico
DEBUG | 2021-09-18T20:32:56,030 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.readEntities(..) with arguments [, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:32:56,032 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.findByNameQuery(..) with arguments [, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:32:56,039 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.findByNameQuery(..) and returning Page 1 of 2 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances
DEBUG | 2021-09-18T20:32:56,039 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.readEntities(..) and returning DefaultResponse{status=SUCCESS, content=Page 1 of 2 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances}
DEBUG | 2021-09-18T20:33:04,875 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.createEntity(..) with arguments [EntityForm{id=-1, name=Saurabh}]
DEBUG | 2021-09-18T20:33:04,876 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.add(..) with arguments [Saurabh]
DEBUG | 2021-09-18T20:33:04,907 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.add(..) and returning PersistentExampleEntity{id=31, name=Saurabh}
DEBUG | 2021-09-18T20:33:04,907 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.createEntity(..) and returning DefaultResponse{status=SUCCESS, content=PersistentExampleEntity{id=31, name=Saurabh}}
DEBUG | 2021-09-18T20:33:07,054 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.createEntity(..) with arguments [EntityForm{id=-1, name=Saurabh}]
DEBUG | 2021-09-18T20:33:07,055 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.add(..) with arguments [Saurabh]
DEBUG | 2021-09-18T20:33:07,058 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.add(..) and returning PersistentExampleEntity{id=32, name=Saurabh}
DEBUG | 2021-09-18T20:33:07,058 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.createEntity(..) and returning DefaultResponse{status=SUCCESS, content=PersistentExampleEntity{id=32, name=Saurabh}}
DEBUG | 2021-09-18T20:33:09,879 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.readEntities(..) with arguments [, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:33:09,880 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.findByNameQuery(..) with arguments [, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:33:09,887 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.findByNameQuery(..) and returning Page 1 of 2 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances
DEBUG | 2021-09-18T20:33:09,888 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.readEntities(..) and returning DefaultResponse{status=SUCCESS, content=Page 1 of 2 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances}
DEBUG | 2021-09-18T20:33:14,168 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.readEntities(..) with arguments [Saurabh, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:33:14,168 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.findByNameQuery(..) with arguments [Saurabh, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:33:14,174 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.findByNameQuery(..) and returning Page 1 of 1 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances
DEBUG | 2021-09-18T20:33:14,174 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.readEntities(..) and returning DefaultResponse{status=SUCCESS, content=Page 1 of 1 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances}
DEBUG | 2021-09-18T20:33:15,593 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.readEntities(..) with arguments [Saurabh, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:33:15,594 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.findByNameQuery(..) with arguments [Saurabh, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:33:15,599 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.findByNameQuery(..) and returning Page 1 of 1 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances
DEBUG | 2021-09-18T20:33:15,600 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.readEntities(..) and returning DefaultResponse{status=SUCCESS, content=Page 1 of 1 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances}
DEBUG | 2021-09-18T20:33:16,093 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.readEntities(..) with arguments [Saurabh, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:33:16,094 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.findByNameQuery(..) with arguments [Saurabh, Page request [number: 0, size 20, sort: UNSORTED]]
DEBUG | 2021-09-18T20:33:16,100 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.findByNameQuery(..) and returning Page 1 of 1 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances
DEBUG | 2021-09-18T20:33:16,101 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.readEntities(..) and returning DefaultResponse{status=SUCCESS, content=Page 1 of 1 containing com.arcelormittal.casestudy.model.persistence.PersistentExampleEntity instances}
DEBUG | 2021-09-18T20:33:20,650 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.createEntity(..) with arguments [EntityForm{id=-1, name=Saurabh}]
DEBUG | 2021-09-18T20:33:20,651 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.add(..) with arguments [Saurabh]
DEBUG | 2021-09-18T20:33:20,656 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.add(..) and returning PersistentExampleEntity{id=33, name=Saurabh}
DEBUG | 2021-09-18T20:33:20,656 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.createEntity(..) and returning DefaultResponse{status=SUCCESS, content=PersistentExampleEntity{id=33, name=Saurabh}}
DEBUG | 2021-09-18T20:33:25,469 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.createEntity(..) with arguments [EntityForm{id=-1, name=Saurabh Pareek}]
DEBUG | 2021-09-18T20:33:25,470 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.add(..) with arguments [Saurabh Pareek]
DEBUG | 2021-09-18T20:33:25,473 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.add(..) and returning PersistentExampleEntity{id=34, name=Saurabh Pareek}
DEBUG | 2021-09-18T20:33:25,474 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.createEntity(..) and returning DefaultResponse{status=SUCCESS, content=PersistentExampleEntity{id=34, name=Saurabh Pareek}}
DEBUG | 2021-09-18T20:33:25,878 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.createEntity(..) with arguments [EntityForm{id=-1, name=Saurabh Pareek}]
DEBUG | 2021-09-18T20:33:25,879 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.add(..) with arguments [Saurabh Pareek]
DEBUG | 2021-09-18T20:33:25,883 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.add(..) and returning PersistentExampleEntity{id=35, name=Saurabh Pareek}
DEBUG | 2021-09-18T20:33:25,883 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.createEntity(..) and returning DefaultResponse{status=SUCCESS, content=PersistentExampleEntity{id=35, name=Saurabh Pareek}}
DEBUG | 2021-09-18T20:33:26,065 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.createEntity(..) with arguments [EntityForm{id=-1, name=Saurabh Pareek}]
DEBUG | 2021-09-18T20:33:26,066 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.add(..) with arguments [Saurabh Pareek]
DEBUG | 2021-09-18T20:33:26,069 | c.a.c.l.a.ServiceLoggingAspect afterCall 42 | Called ExampleEntityService.add(..) and returning PersistentExampleEntity{id=36, name=Saurabh Pareek}
DEBUG | 2021-09-18T20:33:26,069 | c.a.c.l.a.ControllerLoggingAspect afterCall 42 | Called ExampleEntityController.createEntity(..) and returning DefaultResponse{status=SUCCESS, content=PersistentExampleEntity{id=36, name=Saurabh Pareek}}
DEBUG | 2021-09-18T20:33:26,269 | c.a.c.l.a.ControllerLoggingAspect beforeCall 55 | Calling ExampleEntityController.createEntity(..) with arguments [EntityForm{id=-1, name=Saurabh Pareek}]
DEBUG | 2021-09-18T20:33:26,270 | c.a.c.l.a.ServiceLoggingAspect beforeCall 55 | Calling ExampleEntityService.add(..) with arguments [Saurabh Pareek]
